id,timestamp,sensor,t,h
36209,2024-11-29 00:59:14.399776+00,flora-d4-interno,22.8,39.7
36496,2024-11-29 01:08:45.955603+00,flora-d22-esquina,22.9,43.1
36644,2024-11-29 01:22:46.095949+00,flora-d4-interno,22.5,39.6
28973,2024-11-28 19:20:09.545902+00,flora-d4-interno,24.8,42.8
29443,2024-11-28 19:39:29.558012+00,flora-d4-interno,23.2,49
29730,2024-11-28 19:49:06.637767+00,flora-d4-interno,22.2,55.9
30017,2024-11-28 20:02:02.766697+00,flora-d4-interno,22.2,59.4
30200,2024-11-28 20:11:28.282667+00,flora-d4-interno,22.1,59.1
30487,2024-11-28 20:25:59.750619+00,flora-d4-interno,24.8,44.6
30774,2024-11-28 20:39:50.686222+00,flora-d4-interno,25,43.2
31061,2024-11-28 20:54:16.502516+00,flora-d4-interno,24.9,43.1
31348,2024-11-28 21:08:42.333258+00,flora-d4-interno,25,43.7
31635,2024-11-28 21:23:08.404676+00,flora-d22-esquina,25.1,48.4
31742,2024-11-28 21:28:54.446163+00,flora-d4-interno,25,43.2
32029,2024-11-28 21:42:51.125519+00,flora-d4-interno,25,42.7
32316,2024-11-28 21:57:17.153032+00,flora-d22-esquina,24.5,52.5
32603,2024-11-28 22:11:54.178484+00,flora-d4-interno,22.4,55.7
32890,2024-11-28 22:26:31.223295+00,flora-d4-interno,24.6,43.2
33177,2024-11-28 22:40:57.229622+00,flora-d4-interno,24.9,44.1
33464,2024-11-28 22:55:28.736803+00,flora-d4-interno,24.9,43
33586,2024-11-28 23:01:55.850807+00,flora-d4-interno,24.9,42.6
33873,2024-11-28 23:15:46.94891+00,flora-d4-interno,24.8,42.7
34160,2024-11-28 23:30:12.818148+00,flora-d22-esquina,25.1,46.8
34447,2024-11-28 23:44:43.936221+00,flora-d4-interno,24.4,42.8
34734,2024-11-28 23:58:06.796575+00,flora-d22-esquina,25.1,52.5
35021,2024-11-29 00:12:37.614531+00,flora-d4-interno,22.1,57.1
35308,2024-11-29 00:25:20.00042+00,flora-d22-esquina,23.4,45
35595,2024-11-29 00:35:43.057601+00,flora-d4-interno,23.1,40.1
35881,2024-11-29 00:47:34.518835+00,flora-d22-esquina,23.1,43.2
36210,2024-11-29 00:59:14.418647+00,secado-d4,24.9,43
36497,2024-11-29 01:08:50.100158+00,secado-d4,24.9,43
36645,2024-11-29 01:22:46.481872+00,flora-d22-esquina,22.7,43
28974,2024-11-28 19:20:09.932954+00,flora-d22-esquina,24.9,48.6
29444,2024-11-28 19:39:29.945059+00,flora-d22-esquina,24.4,52.3
29731,2024-11-28 19:49:07.018018+00,flora-d22-esquina,23.9,59.1
30018,2024-11-28 20:02:03.147835+00,flora-d22-esquina,23.8,62.2
30201,2024-11-28 20:11:28.669844+00,flora-d22-esquina,23.8,63.9
30488,2024-11-28 20:26:00.142345+00,flora-d22-esquina,24.8,49.8
30775,2024-11-28 20:39:51.065507+00,flora-d22-esquina,24.9,48.9
31062,2024-11-28 20:54:16.883338+00,flora-d22-esquina,25,49.3
31349,2024-11-28 21:08:42.720408+00,flora-d22-esquina,25.1,48.9
31636,2024-11-28 21:23:13.79319+00,flora-d4-interno,25,43.2
31743,2024-11-28 21:28:54.83414+00,flora-d22-esquina,25,48.1
32030,2024-11-28 21:42:51.516289+00,flora-d22-esquina,25.1,47.2
32317,2024-11-28 21:57:22.533057+00,flora-d4-interno,22.8,50.1
32604,2024-11-28 22:11:54.565993+00,flora-d22-esquina,24.5,57.3
32891,2024-11-28 22:26:31.604144+00,flora-d22-esquina,24.8,48.8
33178,2024-11-28 22:40:57.61665+00,flora-d22-esquina,25.3,47.9
33465,2024-11-28 22:55:29.124711+00,flora-d22-esquina,25.4,47.6
33587,2024-11-28 23:01:56.239615+00,flora-d22-esquina,25.3,47.6
33874,2024-11-28 23:15:47.336937+00,flora-d22-esquina,25.3,47.5
34161,2024-11-28 23:30:18.20411+00,flora-d4-interno,24.6,42.3
34448,2024-11-28 23:44:44.326325+00,flora-d22-esquina,25.1,47.2
34735,2024-11-28 23:58:12.180856+00,flora-d4-interno,23.3,51.6
35022,2024-11-29 00:12:38.000867+00,flora-d22-esquina,23.8,59.6
35309,2024-11-29 00:25:24.808325+00,secado-d4,24.9,43
35596,2024-11-29 00:35:43.442443+00,flora-d22-esquina,23.2,43.8
35882,2024-11-29 00:47:37.250322+00,secado-d4,24.9,42
36211,2024-11-29 00:59:14.784576+00,flora-d22-esquina,23,43.2
36498,2024-11-29 01:08:51.340146+00,flora-d4-interno,22.7,39.6
36646,2024-11-29 01:22:48.583585+00,secado-d4,24.9,43
28975,2024-11-28 19:20:10.573237+00,secado-d4,24.9,41
29445,2024-11-28 19:39:33.971762+00,secado-d4,24.9,41
29732,2024-11-28 19:49:12.418728+00,flora-d4-interno,22.2,56
30019,2024-11-28 20:02:08.535042+00,flora-d4-interno,22.2,59
30202,2024-11-28 20:11:34.060327+00,flora-d4-interno,22.1,59.5
30489,2024-11-28 20:26:05.532062+00,flora-d4-interno,24.8,44.6
30776,2024-11-28 20:39:56.450134+00,flora-d4-interno,25,43.2
31063,2024-11-28 20:54:22.270252+00,flora-d4-interno,24.9,43.1
31350,2024-11-28 21:08:48.107524+00,flora-d4-interno,25,43.6
31637,2024-11-28 21:23:14.180318+00,flora-d22-esquina,25,48.4
31744,2024-11-28 21:29:00.224757+00,flora-d4-interno,25,43.3
32031,2024-11-28 21:43:31.339327+00,flora-d4-interno,25,42.7
32318,2024-11-28 21:57:22.92235+00,flora-d22-esquina,24.5,52.2
32605,2024-11-28 22:11:59.953418+00,flora-d4-interno,22.4,55.4
32892,2024-11-28 22:26:36.992381+00,flora-d4-interno,24.6,43.2
33179,2024-11-28 22:41:03.003827+00,flora-d4-interno,24.9,44
33466,2024-11-28 22:55:34.504651+00,flora-d4-interno,24.9,42.9
33588,2024-11-28 23:02:01.631804+00,flora-d4-interno,24.9,42.7
33875,2024-11-28 23:15:52.724905+00,flora-d4-interno,24.8,43
34162,2024-11-28 23:30:18.585353+00,flora-d22-esquina,25.1,46.7
34449,2024-11-28 23:44:49.71301+00,flora-d4-interno,24.4,42.6
34736,2024-11-28 23:58:12.569305+00,flora-d22-esquina,25,52.7
35023,2024-11-29 00:12:43.385711+00,flora-d4-interno,22.1,57
35310,2024-11-29 00:25:25.388388+00,flora-d4-interno,23.2,41
35597,2024-11-29 00:35:48.83425+00,flora-d4-interno,23.1,40.1
35883,2024-11-29 00:47:39.906572+00,flora-d4-interno,23,39.8
36212,2024-11-29 00:59:19.7984+00,secado-d4,24.9,43
36499,2024-11-29 01:08:51.726841+00,flora-d22-esquina,22.9,43
36647,2024-11-29 01:22:51.869025+00,flora-d4-interno,22.5,39.6
28976,2024-11-28 19:20:15.321212+00,flora-d4-interno,24.8,42.6
29446,2024-11-28 19:39:35.325923+00,flora-d4-interno,23.2,49.2
29733,2024-11-28 19:49:12.803734+00,flora-d22-esquina,24,58.7
30020,2024-11-28 20:02:08.916337+00,flora-d22-esquina,23.8,62.3
30203,2024-11-28 20:11:34.449096+00,flora-d22-esquina,23.8,64.2
30490,2024-11-28 20:26:05.921327+00,flora-d22-esquina,24.8,50.2
30777,2024-11-28 20:39:56.833616+00,flora-d22-esquina,25,48.5
31064,2024-11-28 20:54:22.657427+00,flora-d22-esquina,25,48.9
31351,2024-11-28 21:08:48.488195+00,flora-d22-esquina,25.1,49.2
31638,2024-11-28 21:23:19.560444+00,flora-d4-interno,25,43.1
31745,2024-11-28 21:29:00.613296+00,flora-d22-esquina,25,48
32032,2024-11-28 21:43:31.776698+00,flora-d22-esquina,25.1,47.2
32319,2024-11-28 21:57:28.309848+00,flora-d4-interno,22.8,50.2
32606,2024-11-28 22:12:00.342138+00,flora-d22-esquina,24.4,57.2
32893,2024-11-28 22:26:37.379491+00,flora-d22-esquina,24.8,48.7
33180,2024-11-28 22:41:03.390553+00,flora-d22-esquina,25.3,48.1
33467,2024-11-28 22:55:34.893653+00,flora-d22-esquina,25.4,47
33589,2024-11-28 23:02:02.011936+00,flora-d22-esquina,25.3,48.4
33876,2024-11-28 23:15:53.112873+00,flora-d22-esquina,25.3,47.3
34163,2024-11-28 23:30:23.973421+00,flora-d4-interno,24.6,42.3
